wall=14.29s run=01M156JN21TS34NQAF2Y7T85SG state=PARTIAL

=== CUMULATIVE (all) ===
         10128599 function calls (10082599 primitive calls) in 14.290 seconds

   Ordered by: cumulative time
   List reduced from 2395 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    1.255    0.090 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:1259(_send_request)
       14    0.000    0.000    1.255    0.090 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:1241(endheaders)
       14    0.000    0.000    1.255    0.090 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:1003(_send_output)
       14    0.000    0.000    1.255    0.090 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:944(send)
       14    0.000    0.000    1.254    0.090 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:1416(connect)
        1    0.000    0.000    1.083    1.083 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1038(_prefetch)
       11    0.000    0.000    1.077    0.098 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/concurrent/futures/_base.py:601(result_iterator)
        1    0.000    0.000    1.027    1.027 /Users/prathamsharma/intent-engine-econ/src/intent_engine/webapp/app.py:9462(_publish_demo_dossier)
        3    0.022    0.007    0.990    0.330 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/edgar.py:305(resolve_cik)
       14    0.000    0.000    0.910    0.065 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:494(wrap_socket)
       14    0.000    0.000    0.910    0.065 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:983(_create)
       14    0.000    0.000    0.909    0.065 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:1302(do_handshake)
       14    0.908    0.065    0.908    0.065 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.796    0.796 /Users/prathamsharma/intent-engine-econ/src/intent_engine/external_intel/macro_provider.py:225(_treasury_rates)
